timestamp,method_name,method,angle,surface,trial,peak_variables,Fx,Fy,Fz,F_total,Tx,Ty,Tz,peak_signal
2026-03-09 00:12:07,yaw_0_plexi,z,0,plexi,1,force_total,0.11855364552459988,-0.2808199943836001,19.9,19.90233440669995,0.8055555555555556,0.2,0.01301775147928994,19.90233440669995
2026-03-09 00:12:07,yaw_0_plexi,z,0,plexi,2,force_total,-0.5631298162418494,-0.4212299915754002,19.5,19.512676646112475,1.2962962962962963,0.42857142857142855,0.029585798816568046,19.512676646112475
2026-03-09 00:12:07,yaw_0_plexi,z,0,plexi,3,force_total,-0.5038529934795495,-0.3650659926986802,19.4,19.409975296688643,1.3425925925925926,0.37857142857142856,0.03076923076923077,19.409975296688643
2026-03-09 00:12:07,yaw_0_plexi,z,0,plexi,4,force_total,0.0,-0.19657399606852008,19.2,19.201006258421206,1.1111111111111112,0.17142857142857143,0.009467455621301775,19.201006258421206
2026-03-09 00:12:07,yaw_0_plexi,z,0,plexi,5,force_total,-0.14819205690574985,-0.16849199663016007,19.0,19.0013249653454,0.75,0.2,0.028402366863905324,19.0013249653454
2026-03-09 00:12:50,yaw_0_plexi,z,30,plexi,1,force_total,0.948429164196799,0.08424599831508003,-24.0,24.01888039163631,-1.8888888888888888,-1.65,0.26272189349112424,24.01888039163631
2026-03-09 00:12:50,yaw_0_plexi,z,30,plexi,2,force_total,0.7113218731475992,-0.2246559955068801,-24.0,24.011589891623906,-1.9444444444444444,-0.7571428571428571,0.48284023668639053,24.011589891623906
2026-03-09 00:12:50,yaw_0_plexi,z,30,plexi,3,force_total,1.066982809721399,-0.14040999719180006,-23.8,23.824318820976863,-1.2592592592592593,-2.2142857142857144,0.18224852071005918,23.824318820976863
2026-03-09 00:12:50,yaw_0_plexi,z,30,plexi,4,force_total,0.978067575577949,0.05616399887672002,-23.7,23.72023968211887,-1.7222222222222223,-1.65,0.2272189349112426,23.72023968211887
2026-03-09 00:12:50,yaw_0_plexi,z,30,plexi,5,force_total,1.3337285121517486,-0.14040999719180006,-23.5,23.538235845352514,-0.8240740740740741,-2.2785714285714285,0.09230769230769231,23.538235845352514
2026-03-09 00:13:22,yaw_0_plexi,z,60,plexi,1,force_total,5.986959098992294,-0.30890199382196015,-44.5,44.901994384378895,-3.9814814814814814,-2.7357142857142858,-0.178698224852071,44.901994384378895
2026-03-09 00:13:22,yaw_0_plexi,z,60,plexi,2,force_total,5.216360403082395,-0.5897219882055602,-42.5,42.82298667629593,-3.685185185185185,-3.6857142857142855,-0.13609467455621302,42.82298667629593
2026-03-09 00:13:22,yaw_0_plexi,z,60,plexi,3,force_total,4.860699466508595,-0.9828699803426004,-41.0,41.29881878095275,-2.7777777777777777,-2.9857142857142858,-0.09467455621301775,41.29881878095275
2026-03-09 00:13:22,yaw_0_plexi,z,60,plexi,4,force_total,5.631298162418494,-0.7582139848357203,-40.6,40.9956876688373,-2.9444444444444446,-1.4285714285714286,0.01775147928994083,40.9956876688373
2026-03-09 00:13:22,yaw_0_plexi,z,60,plexi,5,force_total,5.572021339656194,-0.9267059814658803,-40.2,40.59490369228222,-2.9166666666666665,-3.307142857142857,-0.04260355029585799,40.59490369228222
2026-03-09 00:14:30,yaw_0_plexi,z,90,plexi,1,force_total,11.321873147599288,-1.4602639707947207,-56.8,57.93580225072171,-2.8703703703703702,13.114285714285714,-0.33136094674556216,57.93580225072171
2026-03-09 00:14:30,yaw_0_plexi,z,90,plexi,2,force_total,11.114404267931238,-1.4040999719180005,-56.6,57.69801971439009,-3.2037037037037037,13.05,-0.31715976331360946,57.69801971439009
2026-03-09 00:14:30,yaw_0_plexi,z,90,plexi,3,force_total,10.07705986959099,-0.9828699803426004,-56.6,57.49846231868796,-4.416666666666667,11.642857142857142,-0.18106508875739644,57.49846231868796
2026-03-09 00:14:30,yaw_0_plexi,z,90,plexi,4,force_total,11.677534084173088,-1.7410839651783208,-55.0,56.25296592768087,-2.3796296296296298,12.0,-0.4035502958579882,56.25296592768087
2026-03-09 00:14:30,yaw_0_plexi,z,90,plexi,5,force_total,11.529342027267338,-1.7691659646166806,-54.7,55.929828140197884,-1.9259259259259258,11.964285714285714,-0.3727810650887574,55.929828140197884
